ID,Mesocosme,Time,Cyto,BP,TOC,F486,F392,F340,F302
M1T0,Surf_1,0,406562.5,8.41588708401675,64.525797830268,0.0348742848954732,0.0447398349590598,0.0259112734462325,0.0292007431060354
M1T1,Surf_1,1,410700,NA,NA,NA,NA,NA,NA
M1T2,Surf_1,2,358594.405594405,NA,NA,NA,NA,NA,NA
M1T3,Surf_1,3,463723.443223444,NA,NA,NA,NA,NA,NA
M1T4,Surf_1,4,850833.333333333,560.295020943753,66.8570524615551,0.0318567767234215,0.043424487699015,0.0263185614942796,0.0284455460553168
M1T5,Surf_1,5,1090875,NA,NA,NA,NA,NA,NA
M1T6,Surf_1,6,1029000,NA,NA,NA,NA,NA,NA
M1T7,Surf_1,7,1168285.71428571,648.438282931479,57.7818112183303,NA,NA,NA,NA
M1T8,Surf_1,8,1183333.33333333,NA,NA,NA,NA,NA,NA
M1T9,Surf_1,9,918555.555555556,NA,NA,NA,NA,NA,NA
M1T10,Surf_1,10,559250,NA,58.1148475942285,NA,NA,NA,NA
M1T16,Surf_1,16,160617.647058824,13.5620895316951,56.8659611846104,0.0605827592559072,0.0690204252479753,0.0444769721972639,0.0575717129463931
M1T21,Surf_1,21,270521.739130435,45.3880461492952,56.9492202785849,NA,NA,NA,NA
M1T25,Surf_1,25,470941.176470588,NA,57.1989975605086,NA,NA,NA,NA
M1T31,Surf_1,31,488933.333333333,58.9054864776305,54.6179656472978,0.0428592638449875,0.0571828607529676,0.0273875714948787,0.0746044245819418
M1T61,Surf_1,61,317833.333333333,26.3911199188921,54.8677429292214,NA,NA,NA,NA
M1T92,Surf_1,92,272555.555555556,35.3674584448498,NA,0.0509868038904508,0.070176169590488,0.0408636264391928,0.035910612121111
M1T183,Surf_1,183,372200,15.3280334830398,NA,0.0498590652784925,0.072745317069005,0.11583096290317,0.0620363038345566
M1T274,Surf_1,274,245400,8.40299414320919,NA,NA,NA,NA,NA
M1T548,Surf_1,548,NA,NA,52.303693,0.107565975143861,0.138531739994235,0.122715163777677,0.0178469633785731
M2T0,Surf_2,0,474583.333333333,6.65471496249178,62.9438750447518,0.0407252203482952,0.039315836240316,0.0229302112365885,0.0231297067893184
M2T1,Surf_2,1,279433.793103449,NA,NA,NA,NA,NA,NA
M2T2,Surf_2,2,332879.37062937,NA,NA,NA,NA,NA,NA
M2T3,Surf_2,3,519035.714285714,NA,NA,NA,NA,NA,NA
M2T4,Surf_2,4,812783.333333334,710.81794982807,62.36106138693,0.0323308813944191,0.0391783928126311,0.0338928208667406,0.0245125712516142
M2T5,Surf_2,5,1059750,NA,NA,NA,NA,NA,NA
M2T6,Surf_2,6,1081625,NA,NA,NA,NA,NA,NA
M2T7,Surf_2,7,1096750,674.534656597867,57.6152930303812,NA,NA,NA,NA
M2T8,Surf_2,8,1095571.42857143,NA,NA,NA,NA,NA,NA
M2T9,Surf_2,9,739272.727272727,NA,NA,NA,NA,NA,NA
M2T10,Surf_2,10,416904.761904762,NA,59.1972158158975,NA,NA,NA,NA
M2T16,Surf_2,16,131000,23.4115900821767,58.6976612520503,0.0617727876206247,0.0748159240015726,0.0522157706892009,0.0472318812900606
M2T21,Surf_2,21,293315.789473684,52.8225511418985,56.6161839026868,NA,NA,NA,NA
M2T25,Surf_2,25,484500,NA,55.0342611171705,NA,NA,NA,NA
M2T31,Surf_2,31,508000,109.900865478282,53.7853747075524,0.04437090968387,0.0551481087061524,0.0273421426680539,0.0879939838868324
M2T61,Surf_2,61,164068.965517241,21.9036629838394,54.8677429292214,NA,NA,NA,NA
M2T92,Surf_2,92,219043.47826087,31.2217952213728,NA,0.0469290318835978,0.0649753943628106,0.0324352480389086,0.0295274449498952
M2T183,Surf_2,183,253347.826086957,11.7834052129368,NA,0.0870429672317486,0.128504790674152,0.084198118392788,0.0656212847920689
M2T274,Surf_2,274,301357.142857143,8.17144789067988,NA,NA,NA,NA,NA
M2T548,Surf_2,548,NA,NA,51.61093,0.107242865123955,0.146582575015149,0.117646284710857,0.0355571556909472
M3T0,Shallow_1,0,258728.571428571,3.68378529144846,62.4443204809045,0.036325118814382,0.0434564410962765,0.021739466693455,0.0189082273975258
M3T1,Shallow_1,1,84709.2760180996,NA,NA,NA,NA,NA,NA
M3T2,Shallow_1,2,109975.752508361,NA,NA,NA,NA,NA,NA
M3T3,Shallow_1,3,179142.361111111,NA,NA,NA,NA,NA,NA
M3T4,Shallow_1,4,214248.571428571,323.235442147419,58.1148475942285,0.0320706018837957,0.0382323768287978,0.0309132662391226,0.0177024293320635
M3T5,Shallow_1,5,271076.923076923,NA,NA,NA,NA,NA,NA
M3T6,Shallow_1,6,256636.363636364,NA,NA,NA,NA,NA,NA
M3T7,Shallow_1,7,236625,386.372762203702,56.3664066207632,NA,NA,NA,NA
M3T8,Shallow_1,8,237130.434782609,NA,NA,NA,NA,NA,NA
M3T9,Shallow_1,9,301375,NA,NA,NA,NA,NA,NA
M3T10,Shallow_1,10,221621.621621622,NA,58.198106688203,NA,NA,NA,NA
M3T16,Shallow_1,16,631833.333333333,529.46144271358,55.7003338689668,0.0515121374683247,0.0533716573470861,0.0279035344153208,0.0423298502759417
M3T21,Shallow_1,21,694181.818181818,335.445203027301,57.5320339364067,NA,NA,NA,NA
M3T25,Shallow_1,25,167380.952380952,NA,56.033370244865,NA,NA,NA,NA
M3T31,Shallow_1,31,116513.513513514,74.1181683831917,53.0360428617816,0.0445403846946318,0.0532181123882407,0.043630243213786,0.0798242225543313
M3T61,Shallow_1,61,203370.37037037,17.3098066723838,56.4496657147377,NA,NA,NA,NA
M3T92,Shallow_1,92,83775,14.1645546183801,NA,0.0525481079402508,0.0604064334676631,0.0320150523806704,0.0318967828249949
M3T183,Shallow_1,183,245700,13.5265707949217,NA,0.051129437315123,0.0672123366273251,0.0615831236714906,0.0504576287263123
M3T274,Shallow_1,274,205307.692307692,5.907713783505,NA,NA,NA,NA,NA
M3T548,Shallow_1,548,NA,NA,53.821634,0.093124762992455,0.122290028335489,0.149272108852394,0.0518208766340551
M4T0,Shallow_2,0,191005.555555556,3.62997160864895,64.8588342061662,0.0351768504911245,0.0407975756526195,0.0207378715764982,0.0238300562263182
M4T1,Shallow_2,1,80624.5404411765,NA,NA,NA,NA,NA,NA
M4T2,Shallow_2,2,106490.853658537,NA,NA,NA,NA,NA,NA
M4T3,Shallow_2,3,171820.707070707,NA,NA,NA,NA,NA,NA
M4T4,Shallow_2,4,232948.343079922,313.285341403915,57.0324793725595,0.0441387800542572,0.0378817342942272,0.218493917936801,0.0329375259571566
M4T5,Shallow_2,5,210063.725490196,NA,NA,NA,NA,NA,NA
M4T6,Shallow_2,6,280500,NA,NA,NA,NA,NA,NA
M4T7,Shallow_2,7,237387.096774194,421.634013837661,64.0262432664208,NA,NA,NA,NA
M4T8,Shallow_2,8,253280,NA,NA,NA,NA,NA,NA
M4T9,Shallow_2,9,265692.307692308,NA,NA,NA,NA,NA,NA
M4T10,Shallow_2,10,256937.5,NA,59.280474909872,NA,NA,NA,NA
M4T16,Shallow_2,16,546461.538461538,478.265571532051,56.3664066207632,0.0606704183029409,0.051909083265733,0.0422832788546127,0.0599437107323293
M4T21,Shallow_2,21,625461.538461538,384.718510994363,57.4487748424322,NA,NA,NA,NA
M4T25,Shallow_2,25,143880,NA,59.1972158158975,NA,NA,NA,NA
M4T31,Shallow_2,31,156000,153.653773718434,52.8695246738325,0.0434071793605526,0.0590757286141028,0.0280911710250887,0.0945509999041166
M4T61,Shallow_2,61,163678.571428571,30.3644483668729,53.3690792376797,NA,NA,NA,NA
M4T92,Shallow_2,92,123000,18.0614287832883,NA,0.0475659738717268,0.0604522475146834,0.0428927683223299,0.0381510273494907
M4T183,Shallow_2,183,306800,14.685944229572,NA,0.0570159950236577,0.0776174074307974,0.117257597790829,0.074007933068923
M4T274,Shallow_2,274,256454.545454545,2.6414336680383,NA,NA,NA,NA,NA
M4T548,Shallow_2,548,NA,NA,51.741488,0.123335184520354,0.130418618382149,0.181400306611364,0.0677447201187422
M5T0,Deep_1,0,285730.392156863,2.08125837794633,64.4425387362935,0.0338403867858564,0.0425095848286272,0.0195939192381424,0.02028711029708
M5T1,Deep_1,1,67647.9166666667,NA,NA,NA,NA,NA,NA
M5T2,Deep_1,2,101610.89052751,NA,NA,NA,NA,NA,NA
M5T3,Deep_1,3,157333.333333333,NA,NA,NA,NA,NA,NA
M5T4,Deep_1,4,127796.859785784,392.098526314037,57.6985521243558,0.0328339345206421,0.0396467866316871,0.0255977446569287,0.0174082762856237
M5T5,Deep_1,5,201490.83011583,NA,NA,NA,NA,NA,NA
M5T6,Deep_1,6,219814.835164835,NA,NA,NA,NA,NA,NA
M5T7,Deep_1,7,236888.888888889,280.057511635458,54.7844838352469,NA,NA,NA,NA
M5T8,Deep_1,8,203840,NA,NA,NA,NA,NA,NA
M5T9,Deep_1,9,265400,NA,NA,NA,NA,NA,NA
M5T10,Deep_1,10,216956.52173913,NA,56.4496657147377,NA,NA,NA,NA
M5T16,Deep_1,16,576500,596.692636565729,55.5338156810178,0.0507103370519629,0.0529847816441639,0.0392924955152013,0.0361597953356467
M5T21,Deep_1,21,794888.888888889,487.122315934958,57.115738466534,NA,NA,NA,NA
M5T25,Deep_1,25,554833.333333333,NA,58.6976612520503,NA,NA,NA,NA
M5T31,Deep_1,31,102310.344827586,135.609729657722,52.1201928280616,0.0440264900655639,0.0545134355185099,0.0282988708773505,0.0955025284004889
M5T61,Deep_1,61,317444.444444444,61.5874020664907,53.0360428617816,NA,NA,NA,NA
M5T92,Deep_1,92,314545.454545455,12.7572132111629,NA,0.0488890458500807,0.0596973038591907,0.0421143056599852,0.0379796664470597
M5T183,Deep_1,183,411000,12.9263569275496,NA,0.0443942304663413,0.0617213161373913,0.0692637241732761,0.0393172605921175
M5T274,Deep_1,274,426125,5.55300463069413,NA,NA,NA,NA,NA
M5T548,Deep_1,548,NA,NA,52.996456,0.0570180953944584,0.0845503039937306,0.0964000284320171,0.0538581007973009
M6T0,Deep_2,0,132590.476190476,1.74439916074833,64.2760205483444,0.036225074611668,0.0423922961135699,0.02533683378587,0.023010216179041
M6T1,Deep_2,1,154550,NA,NA,NA,NA,NA,NA
M6T2,Deep_2,2,90286.6883116885,NA,NA,NA,NA,NA,NA
M6T3,Deep_2,3,150420.565302144,NA,NA,NA,NA,NA,NA
M6T4,Deep_2,4,233494.047619047,388.26114964157,55.6170747749923,0.0387591362474254,0.0920808844540424,0.00727116717343435,0.0303763192633956
M6T5,Deep_2,5,197719.696969697,NA,NA,NA,NA,NA,NA
M6T6,Deep_2,6,199512.643678161,NA,NA,NA,NA,NA,NA
M6T7,Deep_2,7,278000,483.658100693548,61.0289158833374,NA,NA,NA,NA
M6T8,Deep_2,8,229785.714285714,NA,NA,NA,NA,NA,NA
M6T9,Deep_2,9,300608.695652174,NA,NA,NA,NA,NA,NA
M6T10,Deep_2,10,202878.787878788,NA,58.4478839701266,NA,NA,NA,NA
M6T16,Deep_2,16,561857.142857143,612.564912952617,54.2849292713997,0.0504709369466896,0.0526236330610104,0.0267962749927164,0.0456586807803655
M6T21,Deep_2,21,722272.727272727,305.681588916549,55.1175202111451,NA,NA,NA,NA
M6T25,Deep_2,25,484666.666666667,NA,55.7003338689668,NA,NA,NA,NA
M6T31,Deep_2,31,108314.285714286,141.312251991974,52.8695246738325,0.0405453804755325,0.0529492800885603,0.0252859476518573,0.0764619943796256
M6T61,Deep_2,61,147777.777777778,43.2875119684948,53.1193019557561,NA,NA,NA,NA
M6T92,Deep_2,92,226142.857142857,62.6677469212581,NA,0.0468986590059679,0.0571150793857194,0.0417591022214621,0.0353343660168977
M6T183,Deep_2,183,434428.571428571,13.4231139586852,NA,0.0587514447103211,0.0747220226165745,0.0971210559217276,0.0540063209974443
M6T274,Deep_2,274,438714.285714286,3.37958998372572,NA,NA,NA,NA,NA
M6T548,Deep_2,548,NA,NA,51.9081465,0.0711966529021154,0.0969659219931362,0.717658432001226,0
