,Time,Inoculum,Source
433783binsitu,0,1500,1
433793binsitu,0,500,2
433803binsitu,0,0,3
M1T0b,0,0,0
M1T16b,16,0,0
M1T180b,180,0,0
M1T20b,20,0,0
M1T30b,30,0,0
M1T4b,4,0,0
M1T7b,7,0,0
M1T90b,90,0,0
M2T0b,0,0,0
M2T16b,16,0,0
M2T180b,180,0,0
M2T20b,20,0,0
M2T30b,30,0,0
M2T4b,4,0,0
M2T7b,7,0,0
M2T90b,90,0,0
M3T0b,0,500,0
M3T16b,16,500,0
M3T180b,180,500,0
M3T20b,20,500,0
M3T30b,30,500,0
M3T4b,4,500,0
M3T7b,7,500,0
M4T0b,0,500,0
M4T16b,16,500,0
M4T180b,180,500,0
M4T20b,20,500,0
M4T30b,30,500,0
M4T4b,4,500,0
M4T7b,7,500,0
M4T90b,90,500,0
M5T0b,0,1500,0
M5T16b,16,1500,0
M5T180b,180,1500,0
M5T20b,20,1500,0
M5T30b,30,1500,0
M5T4b,4,1500,0
M5T7b,7,1500,0
M5T90b,90,1500,0
M6T0b,0,1500,0
M6T16b,16,1500,0
M6T180b,180,1500,0
M6T20b,20,1500,0
M6T30b,30,1500,0
M6T4b,4,1500,0
M6T7b,7,1500,0
M6T90b,90,1500,0
M7T0b,0,500,500
M7T16b,16,500,500
M7T180b,180,500,500
M7T20b,20,500,500
M7T30b,30,500,500
M7T4b,4,500,500
M7T7b,7,500,500
M7T90b,90,500,500
M8T0b,0,500,500
M8T16b,16,500,500
M8T180b,180,500,500
M8T20b,20,500,500
M8T30b,30,500,500
M8T4b,4,500,500
M8T7b,7,500,500
M8T90b,90,500,500
